	Kendall_lex	Rsquared_lex	Kendall_sal	Rsquared_sal	DV200	input
14_post	0.668657848	0.823784107	0.677429958	0.781248796	40	200.5
14_pre	0.654511364	0.568383196	0.657115034	0.521336103	7.8	189.95
15_pre	0.697032681	0.785059311	0.702462408	0.782704306	57	209.82
26_post	0.705259792	0.736266312	0.709853083	0.868882441	48.5	191.43
26_pre	0.726850185	0.835189024	0.7353604	0.923074017	66.6	190.01
34_post	0.652549741	0.790561571	0.659873224	0.757235053	41.5	200.14
34_pre	0.580592203	0.654737995	0.578671407	0.662274778	16.7	95.4
36_post	0.713929194	0.621195212	0.727305843	0.72476326	21	197.16
36_pre	0.665414182	0.800130488	0.659911526	0.83403602	38.2	171.19
66_post	0.66140499	0.806655478	0.663018328	0.822588413	53.7	200.7
66_pre	0.670557722	0.658466438	0.680468389	0.644269157	22.6	201.07
88_post	0.697476333	0.827645357	0.703271692	0.796621633	19.7	192.95
88_pre	0.676462882	0.580848924	0.683564577	0.534204938	23.8	199.81
9_post	0.704942341	0.639424281	0.71435977	0.713362493	45.2	165.42
9_pre	0.719777551	0.674660245	0.729236743	0.667861607	19.4	188.89
