
Sample Name	M Reads Mapped	dupInt	5'-3' bias	M Aligned	Error rate	M Non-Primary	M Reads Mapped	% Mapped	M Total seqs	% Aligned	M Aligned	% Dups	% GC	Length	M Seqs	% BP Trimmed	% Dups	% GC	Length	M Seqs
14_post	15.1	0.00%	0.23	10.7	1.69%	4.4	10.7	100.0%	10.7	85.6%	9.6	78.2%	46%	89 bp	11.2	1.8%	77.2%	45%	87 bp	11.2
14_pre	13.4	0.00%	3.47	10.5	1.27%	2.9	10.5	100.0%	10.5	87.4%	9.6	80.9%	44%	77 bp	11.0	1.9%	79.5%	44%	76 bp	11.0
15_pre	17.4	0.00%	0.00	11.3	1.93%	6.1	11.3	100.0%	11.3	80.2%	10.0	62.8%	46%	100 bp	12.5	2.3%	62.1%	45%	98 bp	12.5
26_post	15.0	0.00%	0.01	11.3	1.84%	3.7	11.3	100.0%	11.3	85.2%	10.3	68.9%	42%	99 bp	12.1	1.9%	68.1%	42%	97 bp	12.1
26_pre	17.3	0.00%	0.01	13.8	1.87%	3.5	13.8	100.0%	13.8	87.5%	12.7	54.8%	42%	104 bp	14.5	1.8%	54.3%	41%	102 bp	14.5
34_post	15.3	0.00%		12.4	1.52%	2.9	12.4	100.0%	12.4	89.0%	11.4	82.3%	41%	83 bp	12.9	1.5%	81.1%	41%	82 bp	12.8
34_pre	14.0	0.00%		10.4	1.41%	3.5	10.4	100.0%	10.4	87.2%	9.5	86.5%	44%	85 bp	10.9	1.8%	85.8%	43%	84 bp	10.9
36_post	18.1	0.00%	0.01	13.5	1.40%	4.6	13.5	100.0%	13.5	87.2%	12.2	71.2%	41%	88 bp	14.0	1.6%	70.1%	41%	87 bp	14.0
36_pre	15.3	0.00%	1.10	10.9	1.68%	4.4	10.9	100.0%	10.9	85.0%	9.8	79.9%	45%	88 bp	11.5	1.8%	78.9%	45%	87 bp	11.5
66_post	18.1	0.00%	0.00	14.4	1.88%	3.7	14.4	100.0%	14.4	88.6%	13.3	65.3%	41%	90 bp	15.0	1.5%	64.3%	40%	89 bp	15.0
66_pre	16.2	0.00%	0.03	12.4	1.58%	3.8	12.4	100.0%	12.4	87.4%	11.3	70.2%	43%	90 bp	13.0	1.6%	69.1%	42%	88 bp	13.0
88_post	14.7	0.00%	0.02	12.0	1.73%	2.7	12.0	100.0%	12.0	88.9%	11.1	62.9%	43%	96 bp	12.5	1.8%	62.0%	43%	94 bp	12.5
88_pre	15.7	0.00%	117.40	12.9	1.20%	2.8	12.9	100.0%	12.9	89.7%	12.0	83.8%	40%	82 bp	13.4	1.5%	82.7%	39%	81 bp	13.3
9_post	13.1	0.00%	0.03	10.7	1.54%	2.4	10.7	100.0%	10.7	89.3%	9.9	75.8%	40%	93 bp	11.1	1.5%	74.8%	39%	92 bp	11.1
9_pre	14.9	0.00%	0.00	12.1	1.52%	2.8	12.1	100.0%	12.1	88.6%	11.2	64.5%	41%	92 bp	12.6	1.7%	63.5%	41%	90 bp	12.6
